ComponentId,Amount,Unit,UsedByClass,UsedById,UsesClass,UsesId,CreateTS,ModifiedTS,ClassName,RecordId
ba51d4e6-c6c6-4407-b46b-98c5347aba02,1,ea,wt.part.WTPart,97826,wt.part.WTPartMaster,96872,2018-05-23 07:43:06.0000000,2018-05-23 07:43:26.0000000,wt.part.WTPartUsageLink,127763
4fe7ed31-a474-4678-885b-a59228e16244,1,ea,wt.part.WTPart,97772,wt.part.WTPartMaster,96899,2018-05-23 07:43:06.0000000,2018-05-23 07:43:26.0000000,wt.part.WTPartUsageLink,127764
cd0c8af1-0ff3-4259-b38f-797c6b72ab52,1,ea,wt.part.WTPart,97837,wt.part.WTPartMaster,96974,2018-05-23 07:43:06.0000000,2018-05-23 07:43:26.0000000,wt.part.WTPartUsageLink,127765
3f823d2f-aabd-41bf-8b6c-4eb6cd088958,2,ea,wt.part.WTPart,97717,wt.part.WTPartMaster,96920,2018-05-23 07:43:06.0000000,2018-05-23 07:43:26.0000000,wt.part.WTPartUsageLink,127766
03b2dd9f-aa9f-41ab-8bef-f019aeaa934b,1,ea,wt.part.WTPart,97747,wt.part.WTPartMaster,96917,2018-05-23 07:43:06.0000000,2018-05-23 07:43:26.0000000,wt.part.WTPartUsageLink,127767
b78d75e7-c31f-4db4-9664-76f80c16aa18,1,ea,wt.part.WTPart,97739,wt.part.WTPartMaster,96858,2018-05-23 07:43:06.0000000,2018-05-23 07:43:26.0000000,wt.part.WTPartUsageLink,127768
a89496f8-d4a6-4de5-b8aa-154dfeca289a,1,ea,wt.part.WTPart,97851,wt.part.WTPartMaster,96857,2018-05-23 07:43:06.0000000,2018-05-23 07:43:26.0000000,wt.part.WTPartUsageLink,127769
1f8bf7bf-0b3e-4c35-b88f-9f732d59bc8e,1,ea,wt.part.WTPart,97640,wt.part.WTPartMaster,96885,2018-05-23 07:43:06.0000000,2018-05-23 07:43:26.0000000,wt.part.WTPartUsageLink,127770
0ff712d7-dfa3-49f5-990f-572d0d68d77e,1,ea,wt.part.WTPart,97741,wt.part.WTPartMaster,96807,2018-05-23 07:43:06.0000000,2018-05-23 07:43:26.0000000,wt.part.WTPartUsageLink,127771
7259c67a-2663-400d-9558-5e1bfb96dfea,1,ea,wt.part.WTPart,97826,wt.part.WTPartMaster,96795,2018-05-23 07:43:06.0000000,2018-05-23 07:43:26.0000000,wt.part.WTPartUsageLink,127772
9fe3f45e-8a5e-49c1-8799-3db4dd7d7510,1,ea,wt.part.WTPart,97752,wt.part.WTPartMaster,96851,2018-05-23 07:43:06.0000000,2018-05-23 07:43:26.0000000,wt.part.WTPartUsageLink,127773
4a470a2b-53c3-43d1-a867-f377a54888ea,1,ea,wt.part.WTPart,97851,wt.part.WTPartMaster,96783,2018-05-23 07:43:06.0000000,2018-05-23 07:43:26.0000000,wt.part.WTPartUsageLink,127774
06236449-32eb-4789-a537-fe4042b2f60d,1,ea,wt.part.WTPart,97837,wt.part.WTPartMaster,96799,2018-05-23 07:43:06.0000000,2018-05-23 07:43:26.0000000,wt.part.WTPartUsageLink,127775
77bd7faa-40b5-4429-a793-bb508b9c57bd,2,ea,wt.part.WTPart,97865,wt.part.WTPartMaster,96951,2018-05-23 07:43:06.0000000,2018-05-23 07:43:26.0000000,wt.part.WTPartUsageLink,127776
0d1c4ab9-ac11-4432-93ca-dba5c103c56e,1,ea,wt.part.WTPart,97858,wt.part.WTPartMaster,96859,2018-05-23 07:43:06.0000000,2018-05-23 07:43:26.0000000,wt.part.WTPartUsageLink,127777
e0ddee37-631c-45be-bca7-155efc73dd0c,1,ea,wt.part.WTPart,97823,wt.part.WTPartMaster,96891,2018-05-23 07:43:06.0000000,2018-05-23 07:43:26.0000000,wt.part.WTPartUsageLink,127778
4a2b9acd-ebb7-4fed-9a9b-05eb9af2a0a6,1,ea,wt.part.WTPart,97851,wt.part.WTPartMaster,96953,2018-05-23 07:43:06.0000000,2018-05-23 07:43:26.0000000,wt.part.WTPartUsageLink,127779
9e26f05e-f3ca-44f8-a57f-86b00aaff01f,1,ea,wt.part.WTPart,97606,wt.part.WTPartMaster,96806,2018-05-23 07:43:06.0000000,2018-05-23 07:43:26.0000000,wt.part.WTPartUsageLink,127780
5b8f578e-6aac-40f3-a1ed-477f22d36fdb,8,ea,wt.part.WTPart,97640,wt.part.WTPartMaster,96898,2018-05-23 07:43:06.0000000,2018-05-23 07:43:26.0000000,wt.part.WTPartUsageLink,127781
82f09fc7-d9e7-4c18-8fcd-5e85bd06b4fc,1,ea,wt.part.WTPart,97828,wt.part.WTPartMaster,96814,2018-05-23 07:43:06.0000000,2018-05-23 07:43:26.0000000,wt.part.WTPartUsageLink,127782
3604668b-cbf0-49cc-a6e5-606b5e1ad345,1,ea,wt.part.WTPart,97813,wt.part.WTPartMaster,96902,2018-05-23 07:43:06.0000000,2018-05-23 07:43:26.0000000,wt.part.WTPartUsageLink,127783
47951785-64f8-467f-a259-5b2a5745d07a,1,ea,wt.part.WTPart,97748,wt.part.WTPartMaster,96846,2018-05-23 07:43:06.0000000,2018-05-23 07:43:26.0000000,wt.part.WTPartUsageLink,127784
